摘,摘.1,要,要.1,単位,材,材.1,材.2,材.3,料,料.1,料.2,料.3,料.4,料.5,料.6,料.7,雑材料,雑材料.1,運搬費,保温工［人］,その他,備考,注
区分,保温材質,施工箇所,呼び径,単位,ポリスチレンフォーム保温筒［ｍ］,ポリスチレンフォーム保温筒［ｍ］,ポリスチレンフォーム保温筒［ｍ］,粘着テープ［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,アルミガラスクロス［ｍ］,アルミガラスクロス［ｍ］,アルミガラスクロス［ｍ］,雑材料,雑材料,運搬費,保温工［人］,その他,,
区分,保温材質,施工箇所,呼び径,単位,40厚,50厚,65厚,粘着テープ［ｍ］,100幅,125幅,150幅,200幅,250幅,100幅,125幅,150幅,雑材料,雑材料,運搬費,保温工［人］,その他,,
,,,15,,1.03,－,－,4.2,8.1,－,－,－,－,5.0,－,－,,,,0.117,,,
,,,20,,1.03,－,－,4.3,8.5,－,－,－,－,5.2,－,－,,,,0.121,,,
,,,25,,1.03,－,－,4.4,9.0,－,－,－,－,5.6,－,－,,,,0.127,,,
,,,32,,－,1.03,－,5.3,－,8.8,－,－,－,－,5.2,－,,,１,0.153,,,
,,,40,,－,1.03,－,5.5,－,9.3,－,－,－,－,5.6,－,,,式材料,0.166,,,
,ポリスチレンフォム,機械,50,,－,1.03,－,5.6,－,9.9,－,－,－,－,5.9,－,１式,,式材料,0.182,,,
ブライン管,ポリスチレンフォム,室、書庫、,6580,m,－－,1.031.03,－－,5.96.0,－－,10.7－,－9.6,－－,－－,－－,6.6－,－5.6,材料費×,,費＋雑材料費×,0.1970.214,1式,,
,ポリスチレンフォム,倉庫,100,,－,－,1.03,7.4,－,－,12.3,－,－,－,－,7.3,0.05,0.05,費＋雑材料費×,0.267,,,
,,,125,,－,－,1.03,7.7,－,－,13.5,－,－,－,－,8.1,,,0.03,0.311,,,
,,,150,,－,－,1.03,8.2,－,－,14.6,－,－,－,－,8.8,,,0.03,0.354,,,
,,,200,,－,－,1.03,9.0,－,－,－,12.9,－,－,－,10.4,,,,0.453,,,
,,,250,,－,－,1.03,9.7,－,－,－,14.7,－,－,－,11.9,,,,0.565,,,
,,,300,,－,－,1.03,10.6,－,－,－,－,13.3,－,－,13.5,,,,0.678,,,
