材料,材料.1,雑材料,運搬費,保温工［人］,ダクト工［人］,備考,注
グラスウール保温筒合成樹脂製［ｍ］カバー１(シートタイプ)20厚30厚40厚［ｍ］,カバーピン［個］,雑材料,運搬費,保温工［人］,ダクト工［人］,,
1.05－－0.34,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.034,0.022,,
1.05－－	0.361.05－－	0.39,1212,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.0350.036,0.0230.025,,
－1.05－0.51,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.045,0.030,,
－1.05－0.53,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.050,0.032,,
－1.05－0.58,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.054,0.034,,
－－1.050.71,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.078,0.043,,
－－1.050.76,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.084,0.046,,
－－1.050.86,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.105,0.052,,
－－1.050.97,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.121,0.059,,
－－1.051.07,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.142,0.065,,
－－1.051.27,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.168,0.077,,
－－1.051.55,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.193,0.092,,
－－1.051.76,12,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.223,0.104,,
