摘,摘.1,要,要.1,単位,材,材.1,材.2,材.3,材.4,材.5,材.6,料,料.1,料.2,料.3,料.4,雑材料,運搬費,保温工［人］,その他,備考,注
区分,保温材質,施工箇所,呼び径,単位,ロックウール保温筒［ｍ］,ロックウール保温筒［ｍ］,ロックウール保温筒［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,雑材料,運搬費,保温工［人］,その他,,
区分,保温材質,施工箇所,呼び径,単位,20厚25厚,20厚25厚,40厚,100幅,125幅,150幅200幅,150幅200幅,250幅,75幅100幅125幅,75幅100幅125幅,75幅100幅125幅,150幅,雑材料,運搬費,保温工［人］,その他,,
,,,15,,1.05,－,－,5.1,－,－,－,－,4.3,－,－,－,,,0.062,,,
,,,20,,1.05,－,－,5.4,－,－,－,－,4.7,－,－,－,,,0.068,,,
給水,,,25,,1.05,－,－,6.0,－,－,－,－,－,3.6,－,－,,,0.073,,,
管、排,,,32,,1.05,－,－,6.6,－,－,－,－,－,4.0,－,－,,１,0.078,,,
水管,,暗,40,,1.05,－,－,7.0,－,－,－,－,－,4.3,－,－,,式材料,0.086,,,
、給湯,ロック,渠内,50,,1.05,－,－,7.9,－,－,－,－,－,4.9,－,－,１式,式材料,0.094,,,
管及び温水,ロック,ピット内を,65,m,1.05,－,－,－,7.2,－,－,－,－,－,4.3,－,材料費×,費＋雑,0.102,1,,
管及び温水,ウル,ピット内を,80,m,1.05,－,－,－,8.0,－,－,－,－,－,4.8,－,材料費×,材料費×0.03,0.113,式,,
管膨張管を,ウル,含む,100125,,－－,1.051.05,－－,－－,－－,8.39.6,－－,－－,－－,－－,－－,4.95.7,0.05,材料費×0.03,0.1500.177,,,
含む,,,150,,－,1.05,－,－,－,10.8,－,－,－,－,－,6.4,,,0.201,,,
,,,200,,－,－,1.05,－,－,－,11.0,－,－,－,－,8.9,,,0.284,,,
,,,250,,－,－,1.05,－,－,－,12.9,－,－,－,－,10.4,,,0.363,,,
,,,300,,－,－,1.05,－,－,－,－,11.8,－,－,－,12.0,,,0.428,,,
