材料,材料.1,材料.2,雑材料,運搬費,保温工［人］,備考,注
グラスウール保温筒アルミガラスクロス［ｍ］原紙［ｍ］［ｍ２］,グラスウール保温筒アルミガラスクロス［ｍ］原紙［ｍ］［ｍ２］,グラスウール保温筒アルミガラスクロス［ｍ］原紙［ｍ］［ｍ２］,雑材料,運搬費,保温工［人］,,
20厚30厚40厚100幅,125幅,150幅,雑材料,運搬費,保温工［人］,,
1.05－－0.233.0,－,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.068,,
1.05－	－0.253.21.05－	－0.273.6,－－,－－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.0720.078,,
－1.05－0.385.0,－,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.088,,
－1.05－0.405.3,－,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.097,,
－1.05－0.45－,4.5,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.105,,
－－1.050.58－,5.8,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.127,,
－－1.050.63－,－,5.0,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.137,,
－－1.050.73－,－,5.8,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.177,,
－－1.050.82－,－,6.6,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.202,,
－－1.050.92－,－,7.3,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.237,,
－－1.051.11－,－,8.9,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.300,,
－－1.051.30－,－,10.5,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.357,,
－－1.051.50－,－,12.0,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.430,,
