作業名,細目,摘要,単位,材料,材料.1,材料.2,材料.3,材料.4,材料.5,材料.6,材料.7,材料.8,材料.9,材料.10,材料.11,材料.12,材料.13,材料.14,材料.15,材料.16,材料.17,材料.18,材料.19,材料.20,材料.21,材料.22,材料.23,材料.24,材料.25,材料.26,材料.27,材料.28,材料.29,材料.30,材料.31,材料.32,材料.33,材料.34,材料.35,材料.36,材料.37,材料.38,材料.39,材料.40,材料.41,材料.42,材料.43,材料.44,材料.45,材料.46,材料.47,材料.48,材料.49,材料.50,材料.51,材料.52,材料.53,材料.54,材料.55,材料.56,材料.57,材料.58,材料.59,材料.60,材料.61,材料.62,材料.63,材料.64,"電工
［人］",その他
,,C(31) －F2(30),,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.045,
,,C(39) －F2(38),,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,0.052,
,,C(51) －F2(50),,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,0.083,
,接続材料,C(63) －F2(63),か所,,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,0.110,１式
,,C(75) －F2(76),,,,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,0.130,
,,G(16) －F2(15),,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.023,
,,G(16) －F2(17),,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.029,
,,G(22) －F2(24),,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.037,
,,G(28) －F2(30),,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.045,
,,G(36) －F2(38),,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,0.052,
,,G(42) －F2(50),,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,0.083,
,,G(54) －F2(63),,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,0.110,
,,G(70) －F2(76),,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,0.130,
,,G(82) －F2(83),,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,0.150,
,,G(92) －F2(101),,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,0.170,
,,G(104)－F2(101),,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,0.170,
