材料,材料.1,"雑
材
料","運
搬
費","保
温
工
［人］","ダ
ク
ト
工
［人］",注
"グラスウール保温筒合成樹脂製
［ｍ］カバー１
(シートタイプ)
20厚30厚40厚［ｍ］","カバー
ピン
［個］","雑
材
料","運
搬
費","保
温
工
［人］","ダ
ク
ト
工
［人］",
1.05－－0.34,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.034,0.022,
"1.05－－	0.36
1.05－－	0.39","12
12","１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03","0.035
0.036","0.023
0.025",
－1.05－0.51,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.045,0.030,
－1.05－0.53,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.050,0.032,
－1.05－0.58,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.054,0.034,
－－1.050.71,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.078,0.043,
－－1.050.76,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.084,0.046,
－－1.050.86,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.105,0.052,
－－1.050.97,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.121,0.059,
－－1.051.07,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.142,0.065,
－－1.051.27,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.168,0.077,
－－1.051.55,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.193,0.092,
－－1.051.76,12,"１
式
材
料
費
×
0.05","１
式
材
料
費
＋
雑
材
料
費
×
0.03",0.223,0.104,
