細　目,摘　要,単位,材　料,材　料.1,材　料.2,材　料.3,材　料.4,材　料.5,材　料.6,材　料.7,材　料.8,材　料.9,材　料.10,材　料.11,材　料.12,材　料.13,材　料.14,材　料.15,材　料.16,材　料.17,材　料.18,材　料.19,材　料.20,材　料.21,材　料.22,材　料.23,材　料.24,材　料.25,材　料.26,材　料.27,材　料.28,材　料.29,材　料.30,材　料.31,材　料.32,材　料.33,材　料.34,材　料.35,材　料.36,材　料.37,材　料.38,材　料.39,材　料.40,材　料.41,材　料.42,材　料.43,材　料.44,材　料.45,材　料.46,材　料.47,材　料.48,材　料.49,材　料.50,材　料.51,材　料.52,材　料.53,材　料.54,材　料.55,材　料.56,材　料.57,材　料.58,材　料.59,材　料.60,材　料.61,材　料.62,材　料.63,材　料.64,"電工
［人］",その他,注
,C(75)－F2(76),,,,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,0.130,,
,G(16)－F2(15),,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.023,,
,G(16)－F2(17),,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.029,,
,G(22)－F2(24),,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.037,,
,G(28)－F2(30),,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.045,,
,G(36)－F2(38),,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,0.052,,
,G(42)－F2(50),,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,0.083,,
,G(54)－F2(63),,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,0.110,,
,G(70)－F2(76),,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,0.130,,
,G(82)－F2(83),,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,0.150,,
,G(92)－F2(101),,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,0.170,,
,G(104)－F2(101),,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,0.170,,
