１７.【第 18 節 内 外 装】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,
内装床及び内装ボード張りに適用する。,,,,,,,,,,,
,,,,,,,,,,,
(２)細目工種 表 RA -18- 1 【市】,,,,,,,,,,,
,ビニル床シート張り及びビニル床タイル張り (1㎡当たり),,,,,,,,,,
名 称,,摘 要,,単位,ビニル床シート,,,,ビニル床タイル,,備 考
,,,,,床,,階段,,床,階段,
ビニル床シート,,,,㎡,1.05,,1.08,,─,─,
ビニル床タイル,,,,㎡,─,,─,,1.05,1.3,
接 着 剤,,ビニル系床材用,,kg,0.3,,0.3,,0.3,0.3,
内 装 工,,,,人,0.04,,0.07,,0.03,0.07,
そ の 他,,,,式,1,,1,,1,1,
(注)1.「その他」の率対象は、ビニル床シート、ビニル床タイル、接着剤、内装工とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA -18- 2 【市】,,,,,,,,,,,
,ビニル幅木張り (1ｍ当たり),,,,,,,,,,
名 称,,摘 要,,単位,ビニル幅木,,,,備 考,,
,,,,,一般,,階段ささら,,,,
ビ ニ  ル 幅  木 ビ ニ  ル 幅  木 接    着   剤 内    装   工 そ    の   他,,階段ささら用 ビニル系床材用,,ｍ ｍ kg 人 式,1.05 ─ 0.02 0.015 1,,─ 0.54 0.04 0.06 1,,,,
(注)1.「その他」の率対象は、ビニル幅木、接着剤、内装工とする。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,- RA 77 -,,,,,
