表 RA -17- 5 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,【標仕仕様】せっこうボード面及びその他ボード面の素地ごしらえ (1㎡当たり),,,,,,,,,,,,,
名 称,,,摘 要,単位,Ａ 種,,,Ｂ 種,,備 考,,,,
合成樹脂エマルションパテ,,,JIS K 5669(一般形,kg,0.2,,,0.05,,,,,,
研 磨 紙,,,),枚,0.13,,,0.07,,,,,,
塗 装 工,,,P120～220,人,0.027,,,0.006,,,,,,
そ の 他,,,,式,1,,,1,,,,,,
(柱)1.屋外及び水回りの素地ごしらえは、合成樹脂エマルションパテ JIS K 5669(一般形)をJIS K 5669(耐水形)とする。,,,,,,,,,,,,,,
2.せっこうボード面の素地ごしらえは、合成樹脂エマルションパテをせっこうボード用目地処理材(ジョイントコンパウン,,,,,,,,,,,,,,
,,ド)とする。,,,,,,,,,,,,
,,3.「その他」の率対象は、合成樹脂エマルションパテ、研磨紙、塗装工とする。,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA -17- 6 【市】【専】,,,,,,,,,,,,,,
,【標仕仕様】けい酸カルシウム板面の素地ごしらえ (1㎡当たり),,,,,,,,,,,,,
名 称,,,摘 要,単位,Ａ 種,,,Ｂ 種,,備 考,,,,
反応形合成樹脂シーラーおよび弱,,,JASS 18 M-201,kg,0.1,,,0.1,,,,,,
溶剤系反応形合成樹脂シーラー,,,,,,,,,,,,,,
合成樹脂エマルションパテ,,,JIS K 5669(一般形),kg,0.2,,,0.05,,,,,,
研 磨 紙,,,P120～220,枚,0.13,,,0.07,,,,,,
塗 装 工,,,,人,0.038,,,0.017,,,,,,
そ の 他,,,,式,1,,,1,,,,,,
(注)1. 屋外及び水回りの素地ごしらえは、合成樹脂エマルションパテ JIS K 5669(一般形)をJIS K 5669(耐水形)とする。,,,,,,,,,,,,,,
2.「その他」の率対象は、反応形合成樹脂シーラーおよび弱溶剤系反応形合成樹脂シーラー、合成樹脂エマルションパテ、,,,,,,,,,,,,,,
研磨紙、塗装工とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA -17- 7 【市】【専】,,,,,,,,,,,,,,
【標仕仕様】 鉄鋼面錆止め塗料塗り (1㎡当たり),,,,,,,,,,,,,,
,,,,,Ａ,,種,,Ｂ,,種,工場1回塗,工場1回塗,
名 称,,,摘 要,単位,現場1回塗り,,現場1回塗り,,現場1回塗り,,現場1回塗り,,,備 考
,,,,,(４節),,(８節),,(４節),,(８節),(４節),(８節),
鉛・クロムフリーさび止めペイント,,,JIS K 5674 1種,kg,0.1,,―,,0.1,,―,0.1,―,
鉛・クロムフリーさび止めペイント,,,JIS K 5674 2種,kg,―,,0.11,,―,,0.11,―,0.11,
研 磨 紙,,,P120～180,枚,0.13,,0.13,,―,,―,―,―,
塗 装 工,,,,人,0.019,,0.019,,0.017,,0.017,0.01,0.01,
そ の 他,,,,式,1,,1,,1,,1,1,1,
(柱)1.８節の場合、塗料の種別は鉛・クロムフリーさび止めペイント２種とする。,,,,,,,,,,,,,,
,,2.「その他」の率対象は、鉛・クロムフリーさび止めペイント、研磨紙、塗装工とする。,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,- RA 61 -,,,,,,,,
