表 RA - 6 - 2 【市】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,打放し合板型枠 (1㎡当たり),,,,,,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,,単 位,,Ａ種,,,Ｂ種,,,,Ｃ種,,,,,備考,
,,,,,,,,,鉄 筋 ｺﾝｸﾘｰﾄ造 建物 (一般ラー メン),,,鉄 筋 ｺﾝｸﾘｰﾄ造 建物 (一般ラー メン),,鉄 筋 ｺﾝｸﾘｰﾄ造 建物 (壁式),,鉄 筋 ｺﾝｸﾘｰﾄ造 建物 (一般ラー メン),,,鉄 筋 ｺﾝｸﾘｰﾄ造 建物 (壁式),,,
,,,,型枠用厚12㎜,,,㎡,,,,,,,,,,,,,,,
合 板,,,,,,,,,1.06,,,1.06,,1.06,,1.06,,,1.06,,30％,
,,,,"900×1,800㎜",,,ｍ3,,,,,,,,,,,,,,,
さ ん 材,,,,,,,ｍ3,,0.005,,,0.005,,0.004,,0.005,,,0.004,,36％,
角 材,,,,,,,ｍ,,0.003,,,0.003,,0.003,,0.003,,,0.003,,20％,
丸 パ イ プ,,,,,,,本,,7.33,,,7.33,,7.55,,7.33,,,7.55,,3％,
パイプサポート,,,,溶融亜鉛ﾒｯｷ,,,個,,0.44,,,0.44,,0.33,,0.44,,,0.33,,5％,
セパレータ,,,,ボルト式,,,本,,1.74,,,1.74,,1.71,,1.74,,,1.71,,100％,
フォームタイ,,,,座金とも,,,個,,3.48,,,3.48,,3.42,,3.48,,,3.42,,30％,
コ ー ン,,,,,,,kg,,3.48,,,3.48,,3.42,,―,,,―,,30％,
く ぎ 金 物,,,,,,,Ｌ,,0.06,,,0.06,,0.06,,0.06,,,0.06,,,
は く 離 剤,,,,,,,人,,―,,,0.02,,0.02,,0.02,,,0.02,,,
型 わ く 工,,,,,,,人,,0.18,,,0.16,,0.16,,0.13,,,0.13,,,
普通作業員,,,,,,,式,,0.09,,,0.08,,0.07,,0.07,,,0.06,,,
その他,,,,,,,,,1,,,1,,1,,1,,,1,,,
(注)1. 備考欄の数値は、１現場当たり損料率を示す。,,,,,,,,,,,,,,,,,,,,,,
2. コンクリート打設時の型枠点検及び保守を含む。,,,,,,,,,,,,,,,,,,,,,,
3.「その他」の率対象は、合板、さん材、角材、丸パイプ、パイプサポート、セパレータ、フォームタイ、コー,,,,,,,,,,,,,,,,,,,,,,
,,ン、くぎ金物、はく離剤、型わく工及び普通作業員とする。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
表 RA - 6 - 3 【専】,,,,,,,,,,,,,,,,,,,,,,
型枠運搬 (100㎡当たり),,,,,,,,,,,,,,,,,,,,,,
名 称,,,摘 要,,,単位,,２階建以下,,,３階建以下,,,４階建以下,,,５階建以下,,,６階建以下,,備 考
トラック運転,,,4t積,,,日,,1.01,,,0.86,,,0.71,,,0.61,,,0.51,,
,,,,,,,,,,,,,,,,,,,,,,
表 RA - 6 - 4 【専】,,,,,,,,,,,,,,,,,,,,,,
トラック運転 (1日当たり),,,,,,,,,,,,,,,,,,,,,,
名 称,,,,,摘 要,,,,,単位,,,4t積,,,,,備 考,,,,
運転手(一般),,,,,,,,,,人,,,1,,,,,,,,,
燃 料,,,,,軽油,,,,,Ｌ,,,25.7,,,,,,,,,
機 械 損 料,,,,,,,,,,供用日,,,1.13,,,,,,,,,
そ の 他,,,,,,,,,,式,,,1,,,,,,,,,
(注)1.「その他」の率対象は、運転手(一般)及び燃料とする。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,- RA 28 -,,,,,,,,,,
