表 RA - 7 - 4 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
現場溶接 (1ｍ当たり),,,,,,,,,,
名 称,摘 要,単位,半自動溶接,,備 考,,,,,
溶接棒等,,㎏,0.28,,,,,,,
炭 酸 ガ ス,,㎏,0.14,,,,,,,
溶 接 工,,人,0.05,,,,,,,
溶接器具損料,,式,1,,,,,,,
そ の 他,,式,1,,,,,,,
(注)1.すみ肉溶接脚長６㎜とする。,,,,,,,,,,
2.「その他」の率対象は、溶接棒等、炭酸ガス及び溶接工とする。,,,,,,,,,,
,,,,,,,,,,
表 RA - 7 - 5 【専】 アンカーボルト埋込み(Ｂ種) (1本当たり),,,,,,,,,,
名 称,摘 要,単位,間柱及び 簡易なもの 径13～16㎜,,主 柱 用,,,,,備 考
,,,,,径16～19㎜,,,径22～25㎜,径28㎜以上,
型 わ く 工,,人,0.048,,0.072,,,0.092,0.12,
そ の 他,,式,1,,1,,,1,1,
(注)1.「その他」の率対象は、型わく工とする。,,,,,,,,,,
,,,,,,,,,,
,,,,- RA 31 -,,,,,,
