表 RA -16- 18 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,熱線反射ガラス(厚6～8mm) (1㎡当たり),,,,,,,,,,,,,,
名 称,,摘 要,,単位,厚6mm 特寸2.18㎡以下,,,厚6mm 特寸4.45㎡以下,,,厚8mm 特寸2.18㎡以下,,厚8mm 特寸4.45㎡以下,,備 考
熱線反射ガラス,,,,㎡,1.03,,,1.03,,,1.03,,1.03,,
ガ ラ ス 工,,,,人,0.09,,,0.14,,,0.13,,0.19,,
そ の 他,,,,式,1,,,1,,,1,,1,,
(注)1. ガラスの映像調整費は別途計上する。,,,,,,,,,,,,,,,
2.「その他」の率対象は、熱線反射ガラス、ガラス工とする。,,,,,,,,,,,,,,,
表 RA -16- 19 【専】,,,,,,,,,,,,,,,
,ガラスとめ材 (1ｍ当たり),,,,,,,,,,,,,,
名 称,,,摘 要,,,単位,ガスケット,,シーリング,,,備,,考,
シーリング,,,SR-1,,,L,―,,0.038,,,,,,
バックアップ材,,,シーリングの30％,,,式,―,,1,,,,,,
ガラス工,,,,,,人,0.011,,0.044,,,,,,
その他,,,,,,式,1,,1,,,,,,
(注)1.ガスケットは、建具本体に含むものとする。,,,,,,,,,,,,,,,
2.シーリングの断面寸法は、4×4mm程度とする。,,,,,,,,,,,,,,,
3.シーリングは、ガラス両面の材料及び労務とする。,,,,,,,,,,,,,,,
4.「その他」の率対象は、シーリング、バックアップ材、ガラス工とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,- RA 58 -,,,,,,,
