Unnamed: 0,Unnamed: 1,配管保温(グラスウール) 　蒸気管(3/9),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,材料,,,,,雑 材 料,運 搬 費,保 温 工 ［人］,,
,,,,摘要,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,保 区温 分材 質,,,,,,施 工 箇 所,,,,単,グラスウール保温筒 アルミガラスクロス ［ｍ］ 原紙 ［ｍ］ ［ｍ２］,,,,,,,,,そ
,,,,,,,,,,呼,,,,,,,,,,,
,,,,,,,,,,び,,,,,,,,,,,の
,,,,,,,,,,,位,20厚 30厚 40厚 100幅,,,125幅,150幅,,,,,他
,,,,,,,,,,径,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 － － 0.23 3.0,,,－,－,１ 式 材 料 費 × 0.05,１ 式 材 料 費 ＋ 雑 材 料 費 × 0.03,0.068,,
,,,,,,,,,,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 －   － 0.25 3.2 1.05 －   － 0.27 3.6,,,－ －,－ －,,,0.072 0.078,,
,,,,,,,,,,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ 1.05 － 0.38 5.0,,,－,－,,,0.088,,
,,,,,,,,,,32,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,40,,－ 1.05 － 0.40 5.3,,,－,－,,,0.097,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,機,,,,,50,,－ 1.05 － 0.45 －,,,4.5,－,,,0.105,,
,,,グ ラ ス ウ ル,,,械室,,,,,,,,,,,,,,,
,蒸 気 管,,,,,、,,,,65,,－ － 1.05 0.58 －,,,5.8,－,,,0.127,,
,,,,,,書,,,,,m,－ － 1.05 0.63 －,,,－,5,,,0.137,,1 式
,,,,,,庫,,,,80,,,,,,,,,,,
,,,,,,倉,,,,,,,,,,,,,,,
,,,,,庫,,,,,100,,－ － 1.05 0.73 －,,,－,5.8,,,0.177,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 0.82 －,,,－,6.6,,,0.202,,
,,,,,,,,,,125,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 0.92 －,,,－,7.3,,,0.237,,
,,,,,,,,,,150,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 1.11 －,,,－,8.9,,,0.3,,
,,,,,,,,,,200,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 1.30 －,,,－,10.5,,,0.357,,
,,,,,,,,,,250,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 1.50 －,,,－,12,,,0.43,,
,,,,,,,,,,300,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,- ＲM 72 -,,,,,,,
