表 RA -14- 4 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,軽量鉄骨天井下地補強加算 (1㎡当たり),,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,,単位,,ふところ1ｍ 加算,,,,ふところ2ｍ 加算,,,備 考,,
つりボルト 内 装 工 そ の 他,,,,,,,ｍ 人 式,,4.6 0.008 1,,,,6.1 0.01 1,,,,,
(注) 1.つりボルトの長さ加算を含む。,,,,,,,,,,,,,,,,,,
2.軽量鉄骨天井下地の19形及び25形に適用する。,,,,,,,,,,,,,,,,,,
3.「その他」の率対象は、つりボルト、内装工とする。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表 RA -14- 5 【専】 下地ラス張り (1㎡当たり),,,,,,,,,,,,,,,,,,
,,名,称,,摘 要,単位,,壁 ワイヤラス張り (ひし形ラス),,,壁リブラス張り,,,,,,天井 メタルラス張り (平ラス),備 考
,,,,,,,,,,,木造下地,,,,鉄骨下地,,,
ラ,,,ス,,,㎡,,1.1,,,1.1,,,,1.1,,1.1,
アスファルトフェルト,,,,,20kg品,㎡,,1.1,,,─,,,,─,,─,
ス,,テ,ープル,,,kg,,0.05,,,0.06,,,,─,,0.04,
鉄,,,線,,,kg,,─,,,─,,,,0.1,,─,
力,,,骨,,径3.2㎜,kg,,0.25,,,─,,,,─,,0.25,
特,,殊,作業員,,,人,,0.04,,,0.025,,,,0.05,,0.05,
そ,,,の他,,,式,,1,,,1,,,,1,,1,
(注)1.「その他」の率対象は、ラス、アスファルトフェルト、ステープル、鉄線、力骨、特殊作業員とする。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 48 -,,,,,,,,
