６.【第 6 節 型 枠】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,,
イ.建築構造物等の合板型枠及び型枠運搬に適用する。,,,,,,,,,,,,,,
ロ.小型構造物の型枠は、工作物の基礎等で１か所当たり１ｍ３程度のコンクリート量,,,,,,,,,,,,,,
で点在する構造物、高さ１ｍ程度の擁壁及び囲障の基礎等に適用する。,,,,,,,,,,,,,,
ハ.打放し合板型枠の歩掛りは、面木類を含む。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(２)細目工種 表 RA - 6 - 1 【市】【専】,,,,,,,,,,,,,,
,普通合板型枠 (1㎡当たり),,,,,,,,,,,,,
名 称,,,,,摘 要,単位,,小型構造物,,鉄骨造建物 (門形ラーメン),,鉄 筋 ｺﾝｸﾘｰﾄ造 建物 (一般ラーメン),鉄 筋 ｺﾝｸﾘｰﾄ造 建物 (壁式),備 考
合,,,,板,"型枠用厚12㎜ 900×1,800㎜",㎡,,1.25,,1.05,,1.04,1.03,27(50)％
さ,,ん,,材,,ｍ3,,0.007,,0.004,,0.004,0.003,36(50)％
角,,,,材,,ｍ3,,0.02,,―,,0.003,0.003,20(50)％
丸,,パイ,,プ,,ｍ,,―,,7.59,,7.33,7.55,3％
パイプサポート,,,,,溶融亜鉛ﾒｯｷ,本,,―,,―,,0.44,0.33,5％
セ,,パレー,,タ,ボルト式,個,,―,,2.18,,1.74,1.71,100％
フォームタイ,,,,,座金とも,本,,―,,4.36,,3.48,3.42,30％
鉄,,,,線,,kg,,0.09,,―,,―,―,
く,,ぎ金,,物,,kg,,0.04,,0.06,,0.05,0.05,
は,,く離,,剤,,Ｌ,,0.02,,0.02,,0.02,0.02,
型,,わく,,工,,人,,0.15,,0.11,,0.13,0.13,
普,,通作業,,員,,人,,0.07,,0.05,,0.07,0.06,
そ,,の,,他,,式,,1,,1,,1,1,
(注)1.備考欄の数値は、１現場当たり損料率を示す。( )内の数値は小型構造物の損料率を示す。,,,,,,,,,,,,,,
2.コンクリート打設時の型枠点検及び保守を含む。,,,,,,,,,,,,,,
3.「その他」の率対象は、合板、さん材、角材、丸パイプ、パイプサポート、セパレータ、フォームタイ、鉄線、,,,,,,,,,,,,,,
,,,くぎ金物、はく離剤、型わく工及び普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,- RA 27 -,,,,,
