表 RA -22- 7 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
とりこわし機械運搬,,,,,,,,,,,,,,,,,,,(1往復当たり),
名 称,,,,,摘 要,,,,,,,単位,,所要量,,備 考,,,,
トラック運転,,,,,11t積,,,,,,,日,,別表,,所要量は別表RA-22-7-1による,,,,
,,,,,,,,,,,,,,,,,,,,
別表 RA -22- 7 - 1 【専】,,,,,,,,,,,,,,,,,,,,
,とりこわし機械運搬,,,,,,,,,,,,,,,,,,,
機械名,,,規 格,,,,,質量 (ｔ),,,,,運搬機械,,,,,,,備 考
,,,,,,,,,,,,,規格,,,,日数(往復),,,
バックホウ,,,排出ガス対策型 油圧式クローラ型0.8ｍ3,,,,,19.8,,,,,トラック11ｔ積,,,,2,,,
バックホウ,,,排出ガス対策型 油圧式クローラ型0.5ｍ3,,,,,12.1,,,,,トラック11ｔ積,,,,1.5,,,
,,,,,,,,,,,,,,,,,,,,
表 RA -22- 8 【専】,,,,,,,,,,,,,,,,,,,,
トラック運転 (1日当たり),,,,,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,,,,単位,,,,11t積,,,,,備 考,,
運転手(一般),,,,,,,,,人,,,,1,,,,,,,
燃 料,,,,軽油,,,,,Ｌ,,,,46.7,,,,,,,
機 械 損 料,,,,,,,,,供用日,,,,1.13,,,,,,,
そ の 他,,,,,,,,,式,,,,1,,,,,,,
(注)1.「その他」の率対象は、運転手(一般)及び燃料とする。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
表 RA -22- 9 【専】,,,,,,,,,,,,,,,,,,,,
,とりこわし材運搬                          (1ｍ3当たり往復),,,,,,,,,,,,,,,,,,,
名 称,,,,,,摘 要,単位,,,,数 量,,,,備 考,,,,,
ダンプトラック運転,,,,,,10t積級,日,,,,Ｄ／100,,,,運搬日数(Ｄ)は次式による。,,,,,
,,運搬日数の算定式,,,,,,,,,,,,,,,,,,
,,100ｍ3当たり運搬日数(Ｄ)=100ｍ3当たり運搬日数(Ｄ1)×補正係数(ｋ),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 91 -,,,,,,,,,,
