別表 RA - 2 -37- 6 ダンプトラック運搬日数(Ｄ) 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,(1台当たり)
,積込機械,バックホウ 排出ガス対策型 油圧式クローラ型0.13ｍ3,,,,,,,,,,,,,,,,,
,運搬機種,ダンプトラック 2t積級,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,
,運搬距離 (km),0.3 以下,1.0 以下,1.5 以下,2.5 以下,3.0 以下,3.5 以下,4.5 以下,5.5 以下,,7.0 以下,9.0 以下,,12.0 以下,17.0 以下,28.5 以下,60.0 以下,,
,運搬日数,0.048,0.053,0.067,0.077,0.091,0.1,0.111,0.125,,0.143,0.167,,0.2,0.25,0.333,0.5,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,
,運搬距離 (km),0.3 以下,1.0 以下,1.5 以下,2.5 以下,3.0 以下,3.5 以下,4.5 以下,5.0 以下,,6.5 以下,8.0 以下,,11.0 以下,15.0 以下,24.0 以下,60.0 以下,,
,運搬日数,0.048,0.053,0.067,0.077,0.091,0.1,0.111,0.125,,0.143,0.167,,0.2,0.25,0.333,0.5,,
,,,,,,,,,,,,,,,,,,,
別表 RA - 2 -37- 7 ダンプトラック運搬日数(Ｄ) 【専】 (1台当たり),,,,,,,,,,,,,,,,,,,
,積込機械,人力,,,,,,,,,,,,,,,,,
,運搬機種,ダンプトラック 2t積級,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,
,運搬距離,0.3,0.5,1.5,2,2.5,3,4,5,,6.5,8.5,,11,16,27.5,60,,
,(km),以下,以下,以下,以下,以下,以下,以下,以下,,以下,以下,,以下,以下,以下,以下,,
,運搬日数,0.053,0.059,0.067,0.077,0.091,0.1,0.111,0.125,,0.143,0.167,,0.2,0.25,0.333,0.5,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,
,運搬距離,0.3,0.5,1,1.5,2,2.5,3.5,4.5,,6,8,,10.5,14.5,23,60,,
,(km),以下,以下,以下,以下,以下,以下,以下,以下,,以下,以下,,以下,以下,以下,以下,,
,運搬日数,0.053,0.059,0.067,0.077,0.091,0.1,0.111,0.125,,0.143,0.167,,0.2,0.25,0.333,0.5,,
(注) 1. 上記表は、ダンプトラック1台当たりの運搬日数である。,,,,,,,,,,,,,,,,,,,
2. 運搬距離は片道距離であり、往路と復路が異なる時は、平均値とする。,,,,,,,,,,,,,,,,,,,
3. 有料道路を利用する場合には、別途考慮する。,,,,,,,,,,,,,,,,,,,
4. ＤＩＤ(人口集中地区)は、総務省統計局の国勢調査報告資料添付の人口集中地区境界図によるものとする。,,,,,,,,,,,,,,,,,,,
5. 運搬距離が、60kmを超える場合は、別途積上げとする。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 14 -,,,,,,,,,
