表　RE-2-9 【設】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
　白熱灯器具,,,,,,,,,,,,,
細　目,,,摘　要,単位,,材　料,,,雑材料,電工 ［人］,その他,,備考
,,,,,,白熱灯器具 ［個］,,,,,,,
コードペンダント,,,,,,1,,,,0.12,,,
パイプペンダント,,,,,,1,,,,0.144,,,
チェンペンダント,,,,,,1,,,１式 (材料価格×0.05),0.144,,,
シーリングライト,,,,個,,1,,,,0.153,１式,,
埋込灯,,,,,,1,,,,0.209,,,
ブラケットライト,,,,,,1,,,,0.13,,,
レセプタクル,,,,,,1,,,,0.087,,,
(注)　1.インサート、つりボルト等の取付けを含む。 　　　　2.埋込器具の補強材等の取付は含まない。 　　　　3.システム天井用器具は、電工の歩掛りを0.6倍して用い、雑材料は算出しない。 　　　　4.「その他」の率対象は、電工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
表　RE-2-10 【設】,,,,,,,,,,,,,
,,,,,,,,,,,,,
　非常用照明器具(白熱灯),,,,,,,,,,,,,
細　目,摘　要,,,,単位,,材　料,,雑材料,電工 ［人］,その他,,備考
,,,,,,,非常用 照明器具 ［個］,,,,,,
非常用照明器具 (露出形),JE9～30W、I40W,,,,個,,1,,１式,0.13,１式,,
非常用照明器具 (埋込形),JE9～30W、I40W,,,,,,1,,(材料価格×0.05),0.209,,,
(注)　1.インサート、つりボルト等の取付けを含む。 　　　　2.金属線ぴに取付ける場合は、電工の歩掛りを0.8倍して用いる。 　　　　3.システム天井用器具は、電工の歩掛りを0.6倍して用い、雑材料は算出しない。 　　　　4.「その他」の率対象は、電工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,-RE17-,,,,,,
