第２編 建 築 工 事,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
１.【第１節 仮  設】,,,,,,,,,,,,,
,,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,
イ.トラッククレーンの分解・組立及び運搬に適用する。,,,,,,,,,,,,,
(２)細目工種,,,,,,,,,,,,,
(共通仮設),,,,,,,,,,,,,
表 RA - 1 - 1 【専】,,,,,,,,,,,,,
,トラッククレーン(油圧伸縮ジブ型)分解・組立費 (1回当たり),,,,,,,,,,,,
名 称,,摘 要,,単位,所要量,,,備,,,,考,
特殊作業員,,,,人,5.6,,,,,,,,
雑費,,,,式,1,,,労務費の6％,,,,,
その他,,,,式,1,,,,,,,,
(注)1.分解部品の運搬費は別途加算する。,,,,,,,,,,,,,
2.分解組立に使用するクレーンは別途加算する。,,,,,,,,,,,,,
3.100ｔ吊～200ｔ吊のトラッククレーン(油圧伸縮ジブ型)に適用する。,,,,,,,,,,,,,
4.「その他」の率対象は、特殊作業員及び雑費とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
表 RA - 1 - 2 【専】,,,,,,,,,,,,,
,トラッククレーン(油圧伸縮ジブ型)分解部品運搬 (1往復当たり),,,,,,,,,,,,
名 称,,,摘 要,単位,100t吊,,120t吊,,,160t吊,200t吊,,備 考
トラック運転,,,11t積,日,3.7,,4.1,,,5.8,12.7,,
(注)1. 運搬機械の日数はトラック11ｔ積による換算値とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,- RA 1 -,,,,,,,
