７.【第 7 節 鉄 骨】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
1 一般事項,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,
,,,,,,,,,
2 参考歩掛り,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,
イ.建築構造物等の鉄骨現場建て方、トルシア形高力ボルト締付け及びアンカーボルト,,,,,,,,,
埋込みに適用する。,,,,,,,,,
ロ.現場建方は、低層及び中層の建物に適用する。なお、１㎡当たり鋼材使用量及び鋼,,,,,,,,,
材総使用量により補正する。,,,,,,,,,
,,,,,,,,,
(２)細目工種 表 RA - 7 - 1 【専】,,,,,,,,,
,現場建方 (1ｔ当たり),,,,,,,,
名 称,,摘 要,,単位,低 層,,中 層,,備 考
普通ボルト,,,,本,20,,20,,4％
と び 工,,,,人,0.4,,0.53,,
鉄 骨 工,,,,人,0.067,,0.067,,
そ の 他,,,,式,1,,1,,
(注)1. 備考欄の数値は、１現場当たり損料率を示す。,,,,,,,,,
2. 揚重機の費用は、別途計上する。,,,,,,,,,
3. (1)ロ.に基づく補正の対象は、現場建方費を対象とする。,,,,,,,,,
4.「その他」の率対象は、普通ボルト、とび工及び鉄骨工とする。,,,,,,,,,
,,,,,,,,,
,,,,,,- RA 29 -,,,
