表 RA - 2 -27 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,敷きならし(ブルドーザ3t級)                                (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
ブルドーザ運転,,,3t級,日,0.0077,,
普通作業員,,,,人,0.003,,
そ の 他,,,,式,1,,
(注)１.締固めが必要な場合は、別途加算する。,,,,,,,
,,,,,,,
,,２.「その他」の率対象は、普通作業員とする。,,,,,
,,,,,,,
表 RA - 2 -28 【専】,,,,,,,
締固め(タイヤローラ8～20t)                                   (1ｍ3当たり),,,,,,,
名 称,,,摘 要,単位,所要量,,備 考
タイヤローラ運転,,,8～20t,日,0.0027,,
,,,,,,,
表 RA - 2 -29 【市】,,,,,,,
締固め(振動ローラ2.4～2.8t)                               (1ｍ3当たり),,,,,,,
名 称,,,摘 要,単位,所要量,,備 考
振動ローラ運転,,,2.4～2.8t,日,0.013,,
,,,,,,,
表 RA - 2 -30 【市】,,,,,,,
,締固め(タンパ60～80kg)                                    (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
タンパ運転,,,60～80kg,日,0.031,,
普通作業員,,,,人,0.03,,
そ の 他,,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,,
,,,,,,,
表 RA - 2 -31 【専】,,,,,,,
,すきとり(ブルドーザ15t級)                                 (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
ブルドーザ運転,,,15t級,日,0.0029,,
(注) 1. 積込費は、別途計上する。,,,,,,,
,,,,,,,
表 RA - 2 -32 【専】,,,,,,,
,すきとり(ブルドーザ3t級)                                   (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
ブルドーザ運転,,,3t級,日,0.017,,
(注) 1. 積込費は、別途計上する。,,,,,,,
,,,,,,,
,,,,,,- RA 10 -,
