１１.【第 11 節 タ イ ル】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,
イ.張付けモルタルに混入する保水剤を含む。,,,,,,,,,,,,,
ロ.タイルの洗い手間を含む。,,,,,,,,,,,,,
ハ.床及び壁タイルで参考歩掛り以外の寸法の場合の歩掛りは、タイルの所要枚数によ,,,,,,,,,,,,,
って補正する。,,,,,,,,,,,,,
ニ.下地モルタルは、13.【第15節 左官】により別途計上する。,,,,,,,,,,,,,
,,,,,,,,,,,,,
(２)細目工種 表 RA -11- 1 【設】【専】,,,,,,,,,,,,,
,内外装壁タイル(密着張り) (1㎡・1ｍ当たり),,,,,,,,,,,,
,,,,,平物(㎡当たり),,,役物(ｍ当たり),,,,,
,,,,,小口,二丁掛,,小口,,標準,小口,二丁掛,
名 称,,摘 要,単位,,平,平,,曲がり,,曲がり,屏風曲,屏風曲,備 考
,,,,,108,227,,(108+50),,(168+50),108×(60,227×(60,
,,,,,×60㎜,×60㎜,,×60㎜,,×60㎜,+50)㎜,+50)㎜,
外装タイル,,,枚,,135,67,,15,,15,9.5,4.5,※
セ メ ン ト,,,kg,,5.9,5.7,,0.86,,1.19,0.56,0.62,
細 骨 材,,砂,ｍ3,,0.008,0.008,,0.0013,,0.0018,0.0009,0.0009,
タ イ ル 工,,,人,,0.25,0.24,,0.085,,0.085,0.097,0.097,
普通作業員,,,人,,0.07,0.09,,0.018,,0.018,0.018,0.018,
そ の 他,,,式,,1,1,,1,,1,1,1,
(注) 1. 屏風曲がりを水切り等の面台に使用する場合は、労務を各々の80％掛けとする。,,,,,,,,,,,,,
2.「その他」の率対象は、外装タイル、タイル工及び普通作業員とする。,,,,,,,,,,,,,
※内装壁に使用できる外装タイルを適用する。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,- RA 42 -,,,,,,
