表 RA -17- 41 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ) (1㎡当たり),,,,,,,,,,,,,,,,
名 称,,,摘 要,,単位,,Ａ種,,,Ｂ種,,,備 考,,,
ラッカー系シーラー,,,JIS K 5533,,kg,,0.1,,,0.1,,,ウッドシーラー,,,
ラッカー系下地塗料,,,JIS K 5535,,kg,,0.28,,,0.28,,,ラッカーサーフェーサー,,,
ニトロセルロースラッカー,,,JIS K 5531,,kg,,0.24,,,0.16,,,ラッカーエナメル,,,
研 磨 紙,,,P220～240,,枚,,0.13,,,0.13,,,,,,
研 磨 紙,,,P320～400,,枚,,0.5,,,0.5,,,,,,
塗 装 工,,,,,人,,0.138,,,0.117,,,,,,
そ の 他,,,,,式,,1,,,1,,,,,,
(注)1.表は、公共建築改修工事標準仕様書平成28年版の仕様とする。,,,,,,,,,,,,,,,,
2.「その他」の率対象は、ラッカー系シーラー、ラッカー系下地塗料、ニトロセルロースラッカー、研磨紙、塗装工とす,,,,,,,,,,,,,,,,
る。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 RA -17- 42 【専】,,,,,,,,,,,,,,,,
,【改修標仕仕様】オイルステイン塗り(ＯＳ) (1㎡当たり),,,,,,,,,,,,,,,
名 称,,,,摘 要,,単位,,,所要量,,備 考,,,,,
オイルステイン,,,,,,kg,,,0.06,,,,,,,
塗装工,,,,,,人,,,0.052,,,,,,,
その他,,,,,,式,,,1,,,,,,,
(注)1. 表は、公共建築工事標準仕様書平成31年版の仕様とする。,,,,,,,,,,,,,,,,
2. 下地調整を含む。,,,,,,,,,,,,,,,,
3.「その他」の率対象は、オイルステイン、塗装工とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 RA -17- 43 【市】,,,,,,,,,,,,,,,,
,【改修標仕仕様】合成樹脂調合ﾍﾟｲﾝﾄ塗り(ＳＯＰ)(糸幅:300mm以下) (1ｍ当たり),,,,,,,,,,,,,,,
名 称,,,,摘 要,,単位,,,Ｂ 種 (新規面),,,Ｂ 種 (塗替え面),,Ｃ 種 (塗替え面),備,考
木部下塗り用調合ペイント,,,,JASS 18 M-304,,kg,,,0.01,,,0.009,,―,合成樹脂,
合成樹脂調合ペイント,,,,JIS K 5516,,kg,,,0.008,,,0.008,,0.008,１種淡彩,
合成樹脂エマルション パテ,,,,JIS K 5669(耐水形),,kg,,,0.008,,,―,,―,,
研,,磨紙,,P120～220,,枚,,,0.02,,,0.014,,―,,
研,,磨紙,,P240～320,,枚,,,―,,,―,,0.007,,
塗,,装工,,,,人,,,0.018,,,0.015,,0.008,,
そ,,の他,,,,式,,,1,,,1,,1,,
(注)1. 木部に適用し、Ｂ種(新規面)は下地調整ＲＡ種、Ｂ種(塗替え面)は下地調整ＲＢ種、Ｃ種(塗替え面)は下地調整Ｒ,,,,,,,,,,,,,,,,
Ｃ種を含む。,,,,,,,,,,,,,,,,
,,2.「その他」の率対象は、木部下塗り用調合ペイント、合成樹脂調合ペイント、合成樹脂エマルションパテ、研,,,,,,,,,,,,,,
,,磨紙、塗装工とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,- RA 74 -,,,,,,,,
