表　RE-2-6 【設】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
　蛍光灯器具(イ),,,,,,,,
細　目,,摘　要,単位,材　料,雑材料,電工 ［人］,その他,備考
,,,,蛍光灯器具 ［個］,,,,
,,ＦＬ 10Ｗ×1,,1,,0.174,,
,,ＦＬ　20Ｗ×1,,1,,0.2,,
,,ＦＬ　30Ｗ×1,個,1,,0.209,,
,,ＦＬ　40Ｗ×1,,1,,0.313,,
,,ＦＬ 110Ｗ×1,,1,,0.591,,
,,ＦＬ 10Ｗ×2,,1,,0.209,,
,,ＦＬ　20Ｗ×2,,1,１式,0.252,,
,,ＦＬ　30Ｗ×2,個,1,材 料 価 格,0.278,,
,,ＦＬ 40Ｗ×2,,1,,0.391,,
,,ＦＬ 110Ｗ×2,,1,,0.722,,
,,ＦＬ 10Ｗ×3,,1,,0.261,,
　蛍光灯器具(埋込形),,ＦＬ　20Ｗ×3,個,1,×,0.313,１式,
,,ＦＬ 40Ｗ×3,,1,0.05,0.513,,
,,ＦＬ 110Ｗ×3,,1,,0.913,,
,,ＦＬ　20Ｗ×4,,1,,0.461,,
,,ＦＬ 40Ｗ×4,個,1,,0.67,,
,,ＦＬ 110Ｗ×4,,1,,1.3,,
,,ＦＬ　20Ｗ×5,,1,,0.461,,
,,ＦＬ 40Ｗ×5,個,1,,0.67,,
,,ＦＬ 110Ｗ×5,,1,,1.3,,
,,ＦＬ　20Ｗ×6,,1,,0.461,,
,,ＦＬ 40Ｗ×6,個,1,,0.67,,
,,ＦＬ 110Ｗ×6,,1,,1.3,,
(注)1.半埋込器具にも適用する。 　　　2.埋込器具の補強材等の取付けは含まない。 　　　3.連結器具については、連結数倍とする。 　　　4.蛍光灯器具に白熱灯が内蔵された照明器具であって、白熱灯用として専用の電源が供給さ 　　　　れている照明器具は、電工の歩掛りに0.05人／個を加算する。 　　　5.照明制御器を内蔵した照明器具及び別に設置された照明制御器等からの信号により制御さ 　　　　れている照明器具は、電工の歩掛りに0.05人／個を加算する。 　　　6.インサート、つりボルト等の取付けを含む。 　　　7.システム天井用器具は、電工の歩掛りを0.6倍して用い、雑材料は算出しない。 　　　8.環形蛍光灯器具の場合にも用いる。 　　　9.「その他」の率対象は、電工とする。,,,,,,,,
,,,,,,,,
,,,-RE14-,,,,,
