表,作業名,区分,区分.1,摘要保温施工箇所材質,摘要保温施工箇所材質.1,保温厚［mm］,単位,鋲38L65L［本］［本］,鋲38L65L［本］［本］.1,グラスウール保温板［ｍ２］,グラスウール保温帯［ｍ２］,材アルミガラスクロス化粧保温板［ｍ２］,アルミガラスクロス化粧保温帯［ｍ２］,ポリエチレンﾌｨﾙﾑ［ｍ２］,エマルジョン接着剤［ｋｇ］,料アルミガラス粘着テー65幅85幅［ｍ］［ｍ］,料アルミガラス粘着テー65幅85幅［ｍ］［ｍ］.1,クロスプ110幅［ｍ］,ガラスクロス［ｍ２］,銅きっ甲金網(10目)［ｍ２］,外装材［ｍ２］,雑材料,運搬費,保温工(40K)(32K),保温工(40K)(32K).1,ダ亜鉛鉄板0.4mm［人］,クカラー亜鉛鉄板0.35mm［人］,ト溶融アルミニウム-亜鉛鉄板0.35mm［人］,工ステンレス鋼板0.3mm［人］,その他,備考,注
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),区分,区分,摘要保温施工箇所材質,摘要保温施工箇所材質,保温厚［mm］,単位,鋲38L65L［本］［本］,鋲38L65L［本］［本］,グラスウール保温板［ｍ２］,グラスウール保温帯［ｍ２］,材アルミガラスクロス化粧保温板［ｍ２］,アルミガラスクロス化粧保温帯［ｍ２］,ポリエチレンﾌｨﾙﾑ［ｍ２］,エマルジョン接着剤［ｋｇ］,料アルミガラス粘着テー65幅85幅［ｍ］［ｍ］,料アルミガラス粘着テー65幅85幅［ｍ］［ｍ］,クロスプ110幅［ｍ］,ガラスクロス［ｍ２］,銅きっ甲金網(10目)［ｍ２］,外装材［ｍ２］,雑材料,運搬費,［人］,［人］,ダ亜鉛鉄板0.4mm［人］,クカラー亜鉛鉄板0.35mm［人］,ト溶融アルミニウム-亜鉛鉄板0.35mm［人］,工ステンレス鋼板0.3mm［人］,その他,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,,,屋内露出(一般居室、廊下),50,,－,20,1.30,－,－,－,－,－,－,－,－,－,－,1.75,,,0.085,－,0.48,0.50,0.50,0.86,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,長,,機械室､書庫､,25,,20,6,－,－,1.30,－,－,－,0.85,5.60,－,－,－,－,,,0.158,－,－,－,－,－,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,方形ダク,,倉庫,50,,－,20,－,－,1.30,－,－,－,2.58,－,3.34,－,－,－,,,0.134,－,－,－,－,－,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,方形ダク,,屋内隠ぺい、ダクトシャフト内,25,㎡,20,6,－,－,1.30,－,－,－,0.85,5.60,－,－,－,－,,１式,0.150,－,－,－,－,－,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,ト,,屋外露出(バルコ,,,,,,,,,,,,,,,,,,材,,,,,,,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),一,,,ニｰ、開放廊下を含む。)及び浴室、厨房,50,,－,20,1.30,－,－,－,2.97,－,－,－,－,－,－,1.75,,材,0.102,－,0.48,0.50,0.50,0.86,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),般ダ,,グ,等の多湿箇所(厨房の天井内は含まない。),,,,,,,,,,,,,,,,,,料,,,,,,,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),般ダ,,グ,屋内露出(一般居室、廊下),,,,,,,,,,,,,,,,,,費,,,,,,,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),クト,ス,ラス,屋内露出(一般居室、廊下),50,,－,－,－,1.45,－,－,－,－,－,－,－,－,－,1.75,１式,＋雑,0.129,0.103,0.34,0.36,0.36,0.61,１,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,ーパウイ,ーパウイ,機械室､書庫､,25,,－,－,－,－,－,1.45,－,－,4.45,－,－,－,－,－,,材,0.163,0.130,－,－,－,－,式,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,ーパウイ,ーパウイ,倉庫,50,,－,－,－,－,－,1.45,－,－,4.97,－,－,－,－,－,材,料,0.176,0.141,－,－,－,－,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,ラ,ル,屋内隠ぺい、ダクトシャフト内,50,㎡,－,－,,,,,,,,,,,,,料,費,,,,,,,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,ルダ,,屋内隠ぺい、ダクトシャフト内,25,㎡,－,－,－,－,－,1.45,－,－,4.45,－,－,－,－,－,費×,×,0.155,0.124,－,－,－,－,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,ク,,屋外露出(バルコ,,,,,,,,,,,,,,,,,0.1,0.03,,,,,,,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),,ト,,ニｰ、開放廊下を含む。)及び浴室、厨房等の多湿箇所(厨房の天井内は含まない。),50,,－,－,－,1.45,－,－,3.29,－,－,－,－,－,－,1.75,,,0.154,0.123,0.34,0.36,0.36,0.61,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),消,消,,サプライチャンバー,50,,－,30,1.05,－,－,－,－,0.30,－,－,－,1.00,1.10,－,,,0.255,－,－,－,－,－,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),音,音,,サプライチャンバー,25,㎡,30,－,1.08,－,－,－,－,0.30,－,－,－,1.00,1.10,－,,,0.240,－,－,－,－,－,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),内,内,,消音チャンバー,50,㎡,－,30,1.05,－,－,－,－,0.30,－,－,－,1.00,－,－,,,0.221,－,－,－,－,－,,,
表ＲＭ－１－１５【市】,ダクト類保温(グラスウール),貼,貼,,消音エルボ,25,,30,－,1.08,－,－,－,－,0.30,－,－,－,1.00,－,－,,,0.199,－,－,－,－,－,,,
