【標仕仕様】 鉄鋼面錆止め塗料塗り (1㎡当たり),,,,,,,,,,,,,,
,,,,,Ａ,,種,,Ｂ,,種,工場1回塗,工場1回塗,
名 称,,,摘 要,単位,現場1回塗り,,現場1回塗り,,現場1回塗り,,現場1回塗り,,,備 考
,,,,,(４節),,(８節),,(４節),,(８節),(４節),(８節),
鉛・クロムフリーさび止めペイント,,,JIS K 5674 1種,kg,0.1,,―,,0.1,,―,0.1,―,
鉛・クロムフリーさび止めペイント,,,JIS K 5674 2種,kg,―,,0.11,,―,,0.11,―,0.11,
研 磨 紙,,,P120～180,枚,0.13,,0.13,,―,,―,―,―,
塗 装 工,,,,人,0.019,,0.019,,0.017,,0.017,0.01,0.01,
そ の 他,,,,式,1,,1,,1,,1,1,1,
(柱)1.８節の場合、塗料の種別は鉛・クロムフリーさび止めペイント２種とする。,,,,,,,,,,,,,,
,,2.「その他」の率対象は、鉛・クロムフリーさび止めペイント、研磨紙、塗装工とする。,,,,,,,,,,,,
